#A3.3.5 工程別工期：新規開発 (Copyright 2022 IPA)
base_design,detail_design,develop,integration_test,system_test
0.2048192771,0.1927710843,0.1325301205,0.2048192771,0.265060241
0.2051282051,0.2564102564,0.358974359,0.03846153846,0.141025641
0.2121212121,0.2575757576,0.303030303,0.1515151515,0.07575757576
0.2129277567,0.1825095057,0.2243346008,0.1520912548,0.2281368821
0.2131147541,0.1721311475,0.3032786885,0.1639344262,0.1475409836
0.2152777778,0.1527777778,0.4166666667,0.07638888889,0.1388888889
0.2162921348,0.1966292135,0.1938202247,0.2078651685,0.1853932584
0.2166666667,0.1333333333,0.1666666667,0.2333333333,0.25
0.2169811321,0.09433962264,0.2830188679,0.3301886792,0.07547169811
0.2173913043,0.1304347826,0.1304347826,0.347826087,0.1739130435
0.217877095,0.1675977654,0.1061452514,0.2234636872,0.2849162011
0.2198275862,0.1293103448,0.1724137931,0.1293103448,0.349137931
0.2222222222,0.05555555556,0.2222222222,0.2777777778,0.2222222222
0.2234636872,0.1508379888,0.1787709497,0.312849162,0.1340782123
0.2247191011,0.1573033708,0.3745318352,0.0936329588,0.1498127341
0.2247191011,0.2247191011,0.2247191011,0.2134831461,0.1123595506
0.2269503546,0.2127659574,0.2127659574,0.2056737589,0.1418439716
0.2272727273,0.1022727273,0.2272727273,0.25,0.1931818182
0.2283464567,0.1968503937,0.3149606299,0.1102362205,0.1496062992
0.2307692308,0.2097902098,0.2797202797,0.1398601399,0.1398601399
0.2307692308,0.2307692308,0.2307692308,0.2307692308,0.07692307692
0.2352941176,0.2058823529,0.1764705882,0.2647058824,0.1176470588
0.2359550562,0.191011236,0.1629213483,0.2528089888,0.1573033708
0.2377622378,0.2377622378,0.1818181818,0.1958041958,0.1468531469
0.2390438247,0.1593625498,0.2071713147,0.2390438247,0.1553784861
0.2413793103,0.1551724138,0.1896551724,0.06896551724,0.3448275862
0.2419354839,0.2016129032,0.3951612903,0.06451612903,0.09677419355
0.2429906542,0.1775700935,0.1869158879,0.2056074766,0.1869158879
0.2435897436,0.2179487179,0.2179487179,0.1282051282,0.1923076923
0.243902439,0.162601626,0.2682926829,0.162601626,0.162601626
0.2458333333,0.1625,0.375,0.1208333333,0.09583333333
0.2459016393,0.2131147541,0.1967213115,0.1475409836,0.1967213115
0.2464788732,0.2042253521,0.3098591549,0.1267605634,0.1126760563
0.2469135802,0.2469135802,0.2345679012,0.1481481481,0.1234567901
0.2469135802,0.1111111111,0.3086419753,0.1234567901,0.2098765432
0.2477477477,0.1936936937,0.2612612613,0.1126126126,0.1846846847
0.25,0.08333333333,0.08333333333,0.25,0.3333333333
0.25,0.15,0.1333333333,0.2166666667,0.25
0.25,0.1875,0.25,0.1875,0.125
0.251497006,0.2395209581,0.2395209581,0.1497005988,0.119760479
0.2523364486,0.1869158879,0.2523364486,0.1682242991,0.1401869159
0.2526315789,0.2105263158,0.2421052632,0.1789473684,0.1157894737
0.253968254,0.2777777778,0.2777777778,0.03968253968,0.1507936508
0.2542372881,0.2542372881,0.2542372881,0.186440678,0.05084745763
0.2556390977,0.1428571429,0.3007518797,0.1503759398,0.1503759398
0.26,0.1,0.4,0.08,0.16
0.2608695652,0.1739130435,0.2608695652,0.1739130435,0.1304347826
0.2614379085,0.1568627451,0.1764705882,0.339869281,0.06535947712
0.2624113475,0.170212766,0.2659574468,0.1276595745,0.1737588652
0.2631578947,0.1578947368,0.1052631579,0.2105263158,0.2631578947
0.2659574468,0.1595744681,0.2021276596,0.1595744681,0.2127659574
0.2710280374,0.2990654206,0.1869158879,0.1962616822,0.04672897196
0.2752293578,0.2752293578,0.2752293578,0.08256880734,0.09174311927
0.2755905512,0.125984252,0.2519685039,0.2047244094,0.1417322835
0.2760511883,0.2577696527,0.2230347349,0.01279707495,0.2303473492
0.2820512821,0.2564102564,0.2564102564,0.1025641026,0.1025641026
0.2826086957,0.2065217391,0.1739130435,0.25,0.08695652174
0.2843137255,0.1176470588,0.2156862745,0.2647058824,0.1176470588
0.2867132867,0.1608391608,0.2097902098,0.1328671329,0.2097902098
0.2870813397,0.1339712919,0.1435406699,0.2440191388,0.1913875598
0.2888086643,0.2117930205,0.2888086643,0.1985559567,0.01203369434
0.29,0.17,0.07,0.2,0.27
0.2907801418,0.2907801418,0.2907801418,0.06382978723,0.06382978723
0.2941176471,0.1470588235,0.3137254902,0.1176470588,0.1274509804
0.303030303,0.1212121212,0.2727272727,0.1212121212,0.1818181818
0.303030303,0.1919191919,0.2525252525,0.1111111111,0.1414141414
0.3043478261,0.1594202899,0.2173913043,0.1594202899,0.1594202899
0.3086419753,0.08641975309,0.2345679012,0.1234567901,0.2469135802
0.3153846154,0.07692307692,0.1538461538,0.1461538462,0.3076923077
0.3228346457,0.07086614173,0.1732283465,0.157480315,0.2755905512
