#KSLOC実績値
#1.2.5 SLOC 規模　(Copyright 2022 IPA)
ksloc
0.001
0.002
0.0054
0.0066
0.0106
0.011
0.013
0.0156
0.021
0.022
0.0245
0.0298
0.03
0.038
0.0395
0.041
0.0423
0.06
0.064
0.0714
0.072
0.0728
0.074
0.0827
0.1
0.1
0.1008
0.116
0.122
0.1235
0.126
0.13
0.16
0.17
0.1782
0.2
0.2464
0.26
0.29
0.292
0.294
0.299
0.3
0.305
0.324
0.344
0.38
0.38
0.40375
0.419
0.42
0.446
0.45
0.475
0.5
0.501
0.51
0.5391
0.5681
0.576
0.62305
0.675
0.675
0.68
0.738
0.752
0.77
0.784
0.8
0.8
0.8127
0.828
0.8771
0.8862
0.89
0.9
0.917
0.92
0.9468
0.95
0.9531
0.954
1
1
1
1
1
1.002
1.01
1.02
1.024
1.05
1.053
1.061
1.061
1.0787
1.1
1.1
1.15
1.2
1.22
1.22075
1.2299
1.239
1.26
1.3
1.3
1.374
1.379
1.396
1.4
1.4
1.4345
1.44685
1.5
1.6
1.602
1.635
1.703
1.736
1.7612
1.8
1.8
1.825
1.8954
1.9
1.94275
1.946
1.97
1.991
2
2
2.01
2.0439
2.059
2.1
2.122
2.125
2.16535
2.2
2.2
2.25675
2.3
2.3
2.325
2.425
2.471
2.472
2.542
2.552
2.556
2.6
2.616
2.68
2.7
2.705
2.724
2.743
2.8
2.828
2.9
2.9
2.9
2.9
2.968
3
3
3
3.125
3.134
3.14355
3.15
3.174
3.2095
3.262
3.28695
3.3
3.3174
3.388
3.4
3.465
3.466
3.488
3.5
3.5
3.5
3.587
3.6
3.6
3.729
3.76
3.82
3.868
3.893
3.9
3.9
3.94
3.954
4
4
4.073
4.1
4.1
4.1
4.1
4.1049
4.174
4.186
4.2
4.2
4.2
4.238
4.26
4.2741
4.277
4.2924
4.323
4.343
4.421
4.434
4.5
4.508
4.56
4.6
4.6
4.601
4.67
4.717
4.8
4.8
4.8
4.80605
4.9
4.91
5
5.08
5.1
5.2
5.2
5.3
5.6
5.6007
5.6016
5.628
5.6286
5.7277
5.7744
5.793
5.8815
5.8821
5.89
5.9585
6
6
6.11
6.21
6.212
6.416
6.4834
6.5
6.5
6.504
6.531
6.657
6.685
6.7
6.73
6.87
7
7
7
7
7.023
7.043
7.12
7.175
7.2
7.2107
7.2259
7.242
7.336
7.4
7.4
7.4
7.401
7.458
7.5
7.5
7.505
7.506
7.65
7.6784
7.733
7.742
7.82
7.859
8.11155
8.192
8.244
8.25
8.276
8.3
8.349
8.4
8.445
8.468
8.491
8.495
8.585
8.6
8.657
8.666
8.698
8.75
8.796
8.8
8.8
8.8
8.8162
8.85
8.99
9.121
9.2
9.2
9.2
9.395
9.46395
9.5
9.5
9.541
9.582
9.6
9.6
9.6786
9.8
9.8455
9.881
9.923
9.9801
9.997
10
10
10.1
10.101
10.17
10.3
10.3
10.35
10.387
10.4
10.42
10.46
10.471
10.4751
10.5
10.5
10.572
10.7
10.7
10.7
10.7
10.8
10.8
10.815
10.95
11.1
11.18
11.2
11.2
11.27
11.3175
11.4
11.456
11.4642
11.5
11.562
11.58
11.5983
11.6
11.6
11.605
11.7
11.7
11.73
11.758
11.8
11.9
12
12
12
12
12
12
12.06
12.1
12.154
12.167
12.2
12.32
12.363
12.401
12.435
12.5
12.6
12.6
12.6
12.789
12.9
12.951
13
13.0704
